"","planner.setup","domain","planner","time","problem","re_opened","expanded_nodes","duplicates","dead_ends","evaluated_states","solved","heuristic_time","plan_length","planning_time","blob","priority_queue_size","lp_invocations","duration","plan_cost","configuration"
"42","sssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,159993,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup sssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"43","ssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,119993,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup ssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"44","sssinp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup sssinp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"45","sssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,79993,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup sssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"46","ssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,79993,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup ssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"47","sssinp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,159993,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup sssinp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"54","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl",0,0,0,0,0,FALSE,0,NA,0,"",0,0,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl"
"59","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/lin_instances/instance_1.pddl",0,0,0,0,0,FALSE,0,NA,0,"",0,0,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/lin_instances/instance_1.pddl"
"60","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",0,0,0,0,0,FALSE,0,NA,0,"",0,0,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"69","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl",0,0,0,0,0,FALSE,0,NA,0,"",0,0,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl"
"70","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",0,0,0,0,0,FALSE,0,NA,0,"",0,0,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"85","easy_opt","../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/instance_2_100_1229_scale.pddl",NA,NA,NA,NA,1195234,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/instance_2_100_1229_scale.pddl"
"86","ssrnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,79993,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup ssrnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"87","ssrnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,199993,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup ssrnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"88","ssnp_opt","../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl",NA,NA,NA,NA,28657,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup ssnp_opt domain ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl"
"89","ssnp_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,20577,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup ssnp_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
"90","easy_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1",NA,NA,NA,NA,889260,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1"
"91","easy_opt","../benchmarks/pddlplus/seq_num_planning/sailing/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/sailing/medium_instances/instance_1_1_1229.pddl",NA,NA,NA,NA,2015366,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/sailing/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/sailing/medium_instances/instance_1_1_1229.pddl"
"92","ssnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl",NA,NA,NA,NA,658227,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup ssnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl"
"93","easy_opt","../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl",NA,NA,NA,NA,242647,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl"
"94","easy_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,1251956,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
"99","hmnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",0,0,0,0,0,FALSE,0,NA,0,"",0,5,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"103","hmnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"104","hmnp_sat","../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/instance_1_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/instance_1_1.pddl"
"107","hmnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"",NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl"
